订单编码,订单日期,客户编码,所在区域,所在省份,所在地市,商品编号,订购数量,订购单价,金额,商品名称,商品小类,商品大类,销售单价,订单年份,订单月份,订单季度,订单星期,是否周末,单价差异,折扣率,区域编码,订单总金额
D22796,2025-02-01,S22155,西区,云南省,德宏傣族景颇族自治州,X021,629,59.0,37111.0,商品21,眼霜,护肤品,59.0,2025,2,1,5,1,0.0,1.0,4.0,462068.0
D25019,2025-06-10,S20853,东区,江苏省,泰州市,X039,981,108.0,105948.0,商品39,面霜,护肤品,108.0,2025,6,2,1,0,0.0,1.0,3.0,233103.0
D23321,2025-06-20,S13716,东区,江苏省,淮安市,X105,1014,95.0,96330.0,商品105,睫毛膏,彩妆,95.0,2025,6,2,4,0,0.0,1.0,3.0,649007.0
D28300,2025-07-13,S17159,西区,重庆市,重庆市,X015,1285,151.0,194035.0,商品15,面膜,护肤品,151.0,2025,7,3,6,1,0.0,1.0,4.0,311341.0
D29747,2025-01-25,S10996,东区,浙江省,宁波市,X085,912,233.0,212496.0,商品85,口红,彩妆,233.0,2025,1,1,5,1,0.0,1.0,3.0,414510.0
D25369,2025-04-18,S21335,南区,湖南省,衡阳市,X036,1073,99.0,106227.0,商品36,面霜,护肤品,99.0,2025,4,2,4,0,0.0,1.0,2.0,576499.0
D25115,2025-04-19,S18573,东区,安徽省,宣城市,X071,1270,253.0,321310.0,商品71,防晒霜,护肤品,253.0,2025,4,2,5,1,0.0,1.0,3.0,919589.0
D24106,2025-02-08,S15352,西区,重庆市,重庆市,X106,912,224.0,204288.0,商品106,睫毛膏,彩妆,224.0,2025,2,1,5,1,0.0,1.0,4.0,425716.0
D23303,2025-06-30,S12273,南区,湖南省,益阳市,X075,1084,126.0,136584.0,商品75,防晒霜,护肤品,126.0,2025,6,2,0,0,0.0,1.0,2.0,358452.0
D28685,2025-06-18,S18429,北区,山西省,长治市,X023,311,235.0,73085.0,商品23,眼霜,护肤品,235.0,2025,6,2,2,0,0.0,1.0,1.0,929511.0
D26792,2025-09-13,S13825,南区,广东省,广州市,X004,669,211.0,141159.0,商品4,面膜,护肤品,211.0,2025,9,3,5,1,0.0,1.0,2.0,893644.0
D25292,2025-05-29,S10311,西区,重庆市,重庆市,X054,739,83.0,61337.0,商品54,爽肤水,护肤品,83.0,2025,5,2,3,0,0.0,1.0,4.0,222024.0
D28764,2025-01-26,S15085,南区,广东省,深圳市,X045,731,205.0,149855.0,商品45,洁面乳,护肤品,205.0,2025,1,1,6,1,0.0,1.0,2.0,149855.0
D27153,2025-05-17,S19706,南区,广西壮族自治区,梧州市,X044,625,174.0,108750.0,商品44,洁面乳,护肤品,174.0,2025,5,2,5,1,0.0,1.0,2.0,452676.0
D30962,2025-02-03,S14422,北区,北京市,北京市,X051,1920,203.0,389760.0,商品51,爽肤水,护肤品,203.0,2025,2,1,0,0,0.0,1.0,1.0,1031481.0
D32414,2025-02-12,S13312,西区,四川省,南充市,X091,51,214.0,10914.0,商品91,粉底,彩妆,214.0,2025,2,1,2,0,0.0,1.0,4.0,152782.0
D26781,2025-02-12,S10110,东区,江苏省,镇江市,X017,497,213.0,105861.0,商品17,眼霜,护肤品,213.0,2025,2,1,2,0,0.0,1.0,3.0,759291.0
D21570,2025-07-22,S18395,西区,陕西省,西安市,X001,977,121.0,118217.0,商品1,面膜,护肤品,121.0,2025,7,3,1,0,0.0,1.0,4.0,1336963.0
D22049,2025-04-02,S11104,北区,辽宁省,抚顺市,X019,269,210.0,56490.0,商品19,眼霜,护肤品,210.0,2025,4,2,2,0,0.0,1.0,1.0,275773.0
D21321,2025-04-15,S22173,北区,河北省,廊坊市,X031,767,86.0,65962.0,商品31,面霜,护肤品,86.0,2025,4,2,1,0,0.0,1.0,1.0,251396.0
D24493,2025-05-16,S22973,北区,山东省,威海市,X005,2004,185.0,370740.0,商品5,面膜,护肤品,185.0,2025,5,2,4,0,0.0,1.0,1.0,1684071.0
D30969,2025-08-13,S16510,南区,湖南省,岳阳市,X108,1407,223.0,313761.0,商品108,睫毛膏,彩妆,223.0,2025,8,3,2,0,0.0,1.0,2.0,748983.0
D31842,2025-06-06,S19579,东区,浙江省,金华市,X064,588,150.0,88200.0,商品64,隔离霜,护肤品,150.0,2025,6,2,4,0,0.0,1.0,3.0,872258.0
D29904,2025-02-22,S16292,北区,山西省,运城市,X067,1976,212.0,418912.0,商品67,隔离霜,护肤品,212.0,2025,2,1,5,1,0.0,1.0,1.0,1204847.0
D26181,2025-05-16,S18351,东区,江苏省,南通市,X030,1353,237.0,320661.0,商品30,面霜,护肤品,237.0,2025,5,2,4,0,0.0,1.0,3.0,971962.0
D22955,2025-04-07,S20464,西区,四川省,南充市,X021,1209,59.0,71331.0,商品21,眼霜,护肤品,59.0,2025,4,2,0,0,0.0,1.0,4.0,429624.0
D26792,2025-09-13,S13825,南区,广东省,广州市,X040,339,142.0,48138.0,商品40,面霜,护肤品,142.0,2025,9,3,5,1,0.0,1.0,2.0,893644.0
D21713,2025-07-16,S11412,北区,吉林省,长春市,X010,792,58.0,45936.0,商品10,面膜,护肤品,58.0,2025,7,3,2,0,0.0,1.0,1.0,849054.0
D25451,2025-04-30,S20433,南区,海南省,海南省直辖,X017,1269,213.0,270297.0,商品17,眼霜,护肤品,213.0,2025,4,2,2,0,0.0,1.0,2.0,994157.0
D24686,2025-08-13,S13571,北区,天津市,天津市,X056,1453,233.0,338549.0,商品56,爽肤水,护肤品,233.0,2025,8,3,2,0,0.0,1.0,1.0,820806.0
D31079,2025-08-03,S20643,北区,河北省,廊坊市,X013,1060,164.0,173840.0,商品13,面膜,护肤品,164.0,2025,8,3,6,1,0.0,1.0,1.0,482789.0
D21588,2025-08-26,S20405,北区,山东省,青岛市,X003,555,168.0,93240.0,商品3,面膜,护肤品,168.0,2025,8,3,1,0,0.0,1.0,1.0,730894.0
D30272,2025-09-01,S11447,南区,广东省,广州市,X056,103,233.0,23999.0,商品56,爽肤水,护肤品,233.0,2025,9,3,0,0,0.0,1.0,2.0,616740.0
D24267,2025-06-17,S18936,东区,浙江省,宁波市,X079,1016,128.0,130048.0,商品79,口红,彩妆,128.0,2025,6,2,1,0,0.0,1.0,3.0,1230074.0
D28802,2025-02-07,S10858,南区,广东省,广州市,X002,354,141.0,49914.0,商品2,面膜,护肤品,141.0,2025,2,1,4,0,0.0,1.0,2.0,758778.0
D24296,2025-04-28,S16157,北区,山东省,烟台市,X090,87,197.0,17139.0,商品90,粉底,彩妆,197.0,2025,4,2,0,0,0.0,1.0,1.0,534733.0
D30538,2025-08-19,S12993,西区,重庆市,重庆市,X088,590,125.0,73750.0,商品88,粉底,彩妆,125.0,2025,8,3,1,0,0.0,1.0,4.0,1192403.0
D30261,2025-05-30,S22702,西区,重庆市,重庆市,X064,126,150.0,18900.0,商品64,隔离霜,护肤品,150.0,2025,5,2,4,0,0.0,1.0,4.0,242299.0
D28025,2025-07-06,S19117,南区,江西省,南昌市,X064,572,150.0,85800.0,商品64,隔离霜,护肤品,150.0,2025,7,3,6,1,0.0,1.0,2.0,569188.0
D26190,2025-07-02,S10607,南区,广东省,东莞市,X019,310,210.0,65100.0,商品19,眼霜,护肤品,210.0,2025,7,3,2,0,0.0,1.0,2.0,206960.0
D33348,2025-09-26,S15702,东区,上海市,上海市,X054,1239,83.0,102837.0,商品54,爽肤水,护肤品,83.0,2025,9,3,4,0,0.0,1.0,3.0,187905.0
D25586,2025-02-22,S22695,南区,湖南省,常德市,X038,1691,102.0,172482.0,商品38,面霜,护肤品,102.0,2025,2,1,5,1,0.0,1.0,2.0,886885.0
D29030,2025-08-22,S16891,南区,福建省,泉州市,X017,1373,213.0,292449.0,商品17,眼霜,护肤品,213.0,2025,8,3,4,0,0.0,1.0,2.0,501580.0
D30963,2025-02-17,S15407,南区,广东省,深圳市,X100,1168,80.0,93440.0,商品100,眼影,彩妆,80.0,2025,2,1,0,0,0.0,1.0,2.0,404740.0
D24033,2025-09-15,S21278,西区,陕西省,西安市,X087,1565,86.0,134590.0,商品87,口红,彩妆,86.0,2025,9,3,0,0,0.0,1.0,4.0,1009106.0
D21574,2025-04-08,S17095,东区,江苏省,南通市,X045,1456,205.0,298480.0,商品45,洁面乳,护肤品,205.0,2025,4,2,1,0,0.0,1.0,3.0,610328.0
D33629,2025-02-01,S19682,东区,江苏省,盐城市,X038,27,102.0,2754.0,商品38,面霜,护肤品,102.0,2025,2,1,5,1,0.0,1.0,3.0,166314.0
D22589,2025-05-08,S22445,南区,湖南省,邵阳市,X003,277,168.0,46536.0,商品3,面膜,护肤品,168.0,2025,5,2,3,0,0.0,1.0,2.0,1065289.0
D24762,2025-08-30,S16237,西区,云南省,大理白族自治州,X055,243,222.0,53946.0,商品55,爽肤水,护肤品,222.0,2025,8,3,5,1,0.0,1.0,4.0,547623.0
D23423,2025-09-24,S12234,北区,山东省,青岛市,X017,1707,213.0,363591.0,商品17,眼霜,护肤品,213.0,2025,9,3,2,0,0.0,1.0,1.0,979405.0
D32622,2025-08-12,S12504,北区,辽宁省,盘锦市,X013,1227,164.0,201228.0,商品13,面膜,护肤品,164.0,2025,8,3,1,0,0.0,1.0,1.0,368496.0
D24795,2025-01-08,S17729,东区,上海市,上海市,X025,1341,102.0,136782.0,商品25,眼霜,护肤品,102.0,2025,1,1,2,0,0.0,1.0,3.0,283291.0
D32745,2025-06-15,S16806,南区,江西省,景德镇市,X069,40,251.0,10040.0,商品69,防晒霜,护肤品,251.0,2025,6,2,6,1,0.0,1.0,2.0,353768.0
D26706,2025-08-09,S21358,东区,浙江省,杭州市,X023,1419,235.0,333465.0,商品23,眼霜,护肤品,235.0,2025,8,3,5,1,0.0,1.0,3.0,343183.0
D26127,2025-05-03,S10476,南区,福建省,泉州市,X058,1176,239.0,281064.0,商品58,爽肤水,护肤品,239.0,2025,5,2,5,1,0.0,1.0,2.0,1416683.0
D31411,2025-05-16,S11581,东区,江苏省,南京市,X089,901,104.0,93704.0,商品89,粉底,彩妆,104.0,2025,5,2,4,0,0.0,1.0,3.0,330558.0
D28013,2025-07-27,S13119,东区,江苏省,苏州市,X036,468,99.0,46332.0,商品36,面霜,护肤品,99.0,2025,7,3,6,1,0.0,1.0,3.0,863248.0
D26292,2025-05-17,S12100,东区,浙江省,台州市,X049,708,226.0,160008.0,商品49,爽肤水,护肤品,226.0,2025,5,2,5,1,0.0,1.0,3.0,1291904.0
D26168,2025-01-07,S16573,西区,陕西省,宝鸡市,X014,347,86.0,29842.0,商品14,面膜,护肤品,86.0,2025,1,1,1,0,0.0,1.0,4.0,422385.0
D24130,2025-04-28,S18429,北区,山西省,长治市,X077,399,247.0,98553.0,商品77,口红,彩妆,247.0,2025,4,2,0,0,0.0,1.0,1.0,861093.0
D33331,2025-05-27,S22301,北区,黑龙江省,哈尔滨市,X038,572,102.0,58344.0,商品38,面霜,护肤品,102.0,2025,5,2,1,0,0.0,1.0,1.0,212062.0
D23577,2025-05-16,S10286,南区,福建省,莆田市,X067,889,212.0,188468.0,商品67,隔离霜,护肤品,212.0,2025,5,2,4,0,0.0,1.0,2.0,747490.0
D25910,2025-08-05,S11996,西区,宁夏回族自治区,银川市,X059,1756,56.0,98336.0,商品59,隔离霜,护肤品,56.0,2025,8,3,1,0,0.0,1.0,4.0,234659.0
D30744,2025-06-15,S12047,东区,浙江省,绍兴市,X057,975,245.0,238875.0,商品57,爽肤水,护肤品,245.0,2025,6,2,6,1,0.0,1.0,3.0,814301.0
D22670,2025-08-06,S20995,南区,广西壮族自治区,梧州市,X034,1142,182.0,207844.0,商品34,面霜,护肤品,182.0,2025,8,3,2,0,0.0,1.0,2.0,1360907.0
D26091,2025-02-16,S13020,南区,湖南省,岳阳市,X079,608,128.0,77824.0,商品79,口红,彩妆,128.0,2025,2,1,6,1,0.0,1.0,2.0,499513.0
D26070,2025-05-25,S15969,西区,陕西省,西安市,X010,380,58.0,22040.0,商品10,面膜,护肤品,58.0,2025,5,2,6,1,0.0,1.0,4.0,671461.0
D29432,2025-06-02,S11080,北区,黑龙江省,鸡西市,X068,1261,225.0,283725.0,商品68,防晒霜,护肤品,225.0,2025,6,2,0,0,0.0,1.0,1.0,1011120.0
D23690,2025-08-13,S10983,东区,江苏省,南京市,X051,348,203.0,70644.0,商品51,爽肤水,护肤品,203.0,2025,8,3,2,0,0.0,1.0,3.0,772479.0
D29063,2025-04-06,S14453,东区,江苏省,无锡市,X022,648,158.0,102384.0,商品22,眼霜,护肤品,158.0,2025,4,2,6,1,0.0,1.0,3.0,237024.0
D31992,2025-09-11,S21024,南区,湖南省,邵阳市,X024,1805,235.0,424175.0,商品24,眼霜,护肤品,235.0,2025,9,3,3,0,0.0,1.0,2.0,693958.0
D21136,2025-05-02,S17261,北区,辽宁省,辽阳市,X005,2557,185.0,473045.0,商品5,面膜,护肤品,185.0,2025,5,2,4,0,0.0,1.0,1.0,1779005.0
D27964,2025-07-31,S21531,东区,安徽省,合肥市,X034,1715,182.0,312130.0,商品34,面霜,护肤品,182.0,2025,7,3,3,0,0.0,1.0,3.0,737202.0
D27675,2025-05-21,S14543,北区,河北省,沧州市,X117,1328,113.0,150064.0,商品117,蜜粉,彩妆,113.0,2025,5,2,2,0,0.0,1.0,1.0,150064.0
D29022,2025-07-28,S19657,北区,河北省,邯郸市,X051,353,203.0,71659.0,商品51,爽肤水,护肤品,203.0,2025,7,3,0,0,0.0,1.0,1.0,645252.0
D26626,2025-06-21,S18911,东区,浙江省,台州市,X078,835,116.0,96860.0,商品78,口红,彩妆,116.0,2025,6,2,5,1,0.0,1.0,3.0,763151.0
D27202,2025-07-18,S18164,北区,河南省,南阳市,X038,397,102.0,40494.0,商品38,面霜,护肤品,102.0,2025,7,3,4,0,0.0,1.0,1.0,83499.0
D23729,2025-09-04,S18023,东区,湖北省,武汉市,X051,469,203.0,95207.0,商品51,爽肤水,护肤品,203.0,2025,9,3,3,0,0.0,1.0,3.0,1070351.0
D31507,2025-05-11,S21747,南区,广东省,深圳市,X057,751,245.0,183995.0,商品57,爽肤水,护肤品,245.0,2025,5,2,6,1,0.0,1.0,2.0,228422.0
D29799,2025-02-03,S19231,北区,山东省,淄博市,X041,493,212.0,104516.0,商品41,洁面乳,护肤品,212.0,2025,2,1,0,0,0.0,1.0,1.0,687305.0
D31924,2025-02-27,S12358,西区,四川省,广安市,X027,484,164.0,79376.0,商品27,面霜,护肤品,164.0,2025,2,1,3,0,0.0,1.0,4.0,174016.0
D26640,2025-04-12,S12498,西区,四川省,广元市,X041,286,212.0,60632.0,商品41,洁面乳,护肤品,212.0,2025,4,2,5,1,0.0,1.0,4.0,713628.0
D32055,2025-06-17,S15175,南区,江西省,吉安市,X017,1422,213.0,302886.0,商品17,眼霜,护肤品,213.0,2025,6,2,1,0,0.0,1.0,2.0,534514.0
D31285,2025-06-15,S17953,北区,河北省,秦皇岛市,X061,579,203.0,117537.0,商品61,隔离霜,护肤品,203.0,2025,6,2,6,1,0.0,1.0,1.0,506819.0
D23599,2025-09-30,S22744,东区,江苏省,常州市,X070,844,242.0,204248.0,商品70,防晒霜,护肤品,242.0,2025,9,3,1,0,0.0,1.0,3.0,1133220.0
D23508,2025-05-31,S23003,西区,四川省,凉山彝族自治州,X024,1176,235.0,276360.0,商品24,眼霜,护肤品,235.0,2025,5,2,5,1,0.0,1.0,4.0,761937.0
D31228,2025-07-07,S13166,北区,山东省,威海市,X010,45,58.0,2610.0,商品10,面膜,护肤品,58.0,2025,7,3,0,0,0.0,1.0,1.0,67367.0
D26554,2025-07-27,S11227,东区,江苏省,无锡市,X040,1370,142.0,194540.0,商品40,面霜,护肤品,142.0,2025,7,3,6,1,0.0,1.0,3.0,728417.0
D24106,2025-02-08,S15352,西区,重庆市,重庆市,X065,827,140.0,115780.0,商品65,隔离霜,护肤品,140.0,2025,2,1,5,1,0.0,1.0,4.0,425716.0
D34144,2025-04-01,S11832,北区,山东省,济南市,X026,656,101.0,66256.0,商品26,面霜,护肤品,101.0,2025,4,2,1,0,0.0,1.0,1.0,128180.0
D28012,2025-07-21,S18978,东区,浙江省,杭州市,X060,619,102.0,63138.0,商品60,隔离霜,护肤品,102.0,2025,7,3,0,0,0.0,1.0,3.0,475198.0
D22071,2025-08-19,S10423,北区,黑龙江省,黑河市,X064,652,150.0,97800.0,商品64,隔离霜,护肤品,150.0,2025,8,3,1,0,0.0,1.0,1.0,779634.0
D21696,2025-06-09,S13676,东区,浙江省,杭州市,X080,118,72.0,8496.0,商品80,口红,彩妆,72.0,2025,6,2,0,0,0.0,1.0,3.0,646574.0
D21167,2025-08-04,S11691,东区,江苏省,徐州市,X055,1088,222.0,241536.0,商品55,爽肤水,护肤品,222.0,2025,8,3,0,0,0.0,1.0,3.0,402969.0
D23134,2025-07-17,S17406,东区,江苏省,苏州市,X003,277,168.0,46536.0,商品3,面膜,护肤品,168.0,2025,7,3,3,0,0.0,1.0,3.0,728674.0
D32168,2025-05-21,S11423,东区,江苏省,苏州市,X002,1079,141.0,152139.0,商品2,面膜,护肤品,141.0,2025,5,2,2,0,0.0,1.0,3.0,152139.0
D27784,2025-02-19,S11333,西区,重庆市,重庆市,X058,171,239.0,40869.0,商品58,爽肤水,护肤品,239.0,2025,2,1,2,0,0.0,1.0,4.0,214392.0
D27578,2025-05-28,S17833,南区,广东省,中山市,X085,1900,233.0,442700.0,商品85,口红,彩妆,233.0,2025,5,2,2,0,0.0,1.0,2.0,1126260.0
D33863,2025-07-10,S12234,北区,山东省,青岛市,X029,444,154.0,68376.0,商品29,面霜,护肤品,154.0,2025,7,3,3,0,0.0,1.0,1.0,118720.0
D28310,2025-07-22,S20643,北区,河北省,廊坊市,X057,298,245.0,73010.0,商品57,爽肤水,护肤品,245.0,2025,7,3,1,0,0.0,1.0,1.0,637274.0
D24036,2025-08-24,S17236,东区,上海市,上海市,X064,469,150.0,70350.0,商品64,隔离霜,护肤品,150.0,2025,8,3,6,1,0.0,1.0,3.0,392456.0
D31544,2025-04-25,S17651,南区,广东省,佛山市,X023,1761,235.0,413835.0,商品23,眼霜,护肤品,235.0,2025,4,2,4,0,0.0,1.0,2.0,413835.0
D29468,2025-08-19,S17942,西区,四川省,成都市,X023,197,235.0,46295.0,商品23,眼霜,护肤品,235.0,2025,8,3,1,0,0.0,1.0,4.0,322145.0
D27213,2025-02-16,S13734,北区,山东省,德州市,X088,1905,125.0,238125.0,商品88,粉底,彩妆,125.0,2025,2,1,6,1,0.0,1.0,1.0,474466.0
D23666,2025-04-30,S22090,北区,山东省,潍坊市,X039,1021,108.0,110268.0,商品39,面霜,护肤品,108.0,2025,4,2,2,0,0.0,1.0,1.0,570223.0
D27293,2025-07-29,S16510,南区,湖南省,岳阳市,X039,966,108.0,104328.0,商品39,面霜,护肤品,108.0,2025,7,3,1,0,0.0,1.0,2.0,790969.0
D23807,2025-09-08,S11188,南区,江西省,新余市,X039,480,108.0,51840.0,商品39,面霜,护肤品,108.0,2025,9,3,0,0,0.0,1.0,2.0,725891.0
D31865,2025-07-06,S22693,西区,四川省,德阳市,X017,1352,213.0,287976.0,商品17,眼霜,护肤品,213.0,2025,7,3,6,1,0.0,1.0,4.0,842939.0
D29093,2025-05-30,S22955,南区,江西省,萍乡市,X030,326,237.0,77262.0,商品30,面霜,护肤品,237.0,2025,5,2,4,0,0.0,1.0,2.0,428860.0
D25721,2025-08-19,S22773,东区,江苏省,苏州市,X009,909,92.0,83628.0,商品9,面膜,护肤品,92.0,2025,8,3,1,0,0.0,1.0,3.0,83628.0
D26331,2025-01-31,S18044,东区,浙江省,温州市,X045,1044,205.0,214020.0,商品45,洁面乳,护肤品,205.0,2025,1,1,4,0,0.0,1.0,3.0,441408.0
D29226,2025-07-23,S17140,西区,四川省,内江市,X079,1117,128.0,142976.0,商品79,口红,彩妆,128.0,2025,7,3,2,0,0.0,1.0,4.0,967368.0
D26633,2025-08-05,S21939,北区,山东省,淄博市,X048,704,61.0,42944.0,商品48,爽肤水,护肤品,61.0,2025,8,3,1,0,0.0,1.0,1.0,630974.0
D33627,2025-07-22,S14911,东区,江苏省,泰州市,X002,989,141.0,139449.0,商品2,面膜,护肤品,141.0,2025,7,3,1,0,0.0,1.0,3.0,546344.0
D31633,2025-02-14,S22423,西区,陕西省,安康市,X071,489,253.0,123717.0,商品71,防晒霜,护肤品,253.0,2025,2,1,4,0,0.0,1.0,4.0,632375.0
D32946,2025-07-09,S20837,南区,福建省,泉州市,X036,1149,99.0,113751.0,商品36,面霜,护肤品,99.0,2025,7,3,2,0,0.0,1.0,2.0,288927.0
D22239,2025-05-02,S19851,西区,四川省,自贡市,X057,1732,245.0,424340.0,商品57,爽肤水,护肤品,245.0,2025,5,2,4,0,0.0,1.0,4.0,1091666.0
D24844,2025-02-18,S11055,西区,贵州省,安顺市,X056,838,233.0,195254.0,商品56,爽肤水,护肤品,233.0,2025,2,1,1,0,0.0,1.0,4.0,346894.0
D24938,2025-09-05,S11368,东区,浙江省,杭州市,X064,737,150.0,110550.0,商品64,隔离霜,护肤品,150.0,2025,9,3,4,0,0.0,1.0,3.0,582103.0
D28140,2025-04-03,S14649,南区,广东省,广州市,X051,297,203.0,60291.0,商品51,爽肤水,护肤品,203.0,2025,4,2,3,0,0.0,1.0,2.0,574273.0
D21146,2025-07-28,S13568,东区,江苏省,扬州市,X079,228,128.0,29184.0,商品79,口红,彩妆,128.0,2025,7,3,0,0,0.0,1.0,3.0,883885.0
D28070,2025-05-20,S17559,南区,广东省,深圳市,X029,1218,154.0,187572.0,商品29,面霜,护肤品,154.0,2025,5,2,1,0,0.0,1.0,2.0,545846.0
D24775,2025-04-30,S15125,北区,辽宁省,抚顺市,X010,702,58.0,40716.0,商品10,面膜,护肤品,58.0,2025,4,2,2,0,0.0,1.0,1.0,529101.0
D28996,2025-09-08,S22326,南区,广东省,惠州市,X049,546,226.0,123396.0,商品49,爽肤水,护肤品,226.0,2025,9,3,0,0,0.0,1.0,2.0,754393.0
D28473,2025-08-01,S12158,东区,浙江省,温州市,X042,1914,159.0,304326.0,商品42,洁面乳,护肤品,159.0,2025,8,3,4,0,0.0,1.0,3.0,304326.0
D23556,2025-04-07,S16243,北区,天津市,天津市,X034,934,182.0,169988.0,商品34,面霜,护肤品,182.0,2025,4,2,0,0,0.0,1.0,1.0,411187.0
D22536,2025-09-15,S18044,东区,浙江省,温州市,X059,1540,56.0,86240.0,商品59,隔离霜,护肤品,56.0,2025,9,3,0,0,0.0,1.0,3.0,519806.0
D24740,2025-05-23,S21255,西区,四川省,内江市,X031,999,86.0,85914.0,商品31,面霜,护肤品,86.0,2025,5,2,4,0,0.0,1.0,4.0,256541.0
D28243,2025-09-17,S13701,北区,山东省,潍坊市,X045,564,205.0,115620.0,商品45,洁面乳,护肤品,205.0,2025,9,3,2,0,0.0,1.0,1.0,620785.0
D28140,2025-04-03,S14649,南区,广东省,广州市,X039,352,108.0,38016.0,商品39,面霜,护肤品,108.0,2025,4,2,3,0,0.0,1.0,2.0,574273.0
D27057,2025-01-19,S13498,北区,山东省,枣庄市,X013,1079,164.0,176956.0,商品13,面膜,护肤品,164.0,2025,1,1,6,1,0.0,1.0,1.0,871329.0
D28938,2025-08-01,S17841,北区,北京市,北京市,X079,1043,128.0,133504.0,商品79,口红,彩妆,128.0,2025,8,3,4,0,0.0,1.0,1.0,670771.0
D28571,2025-06-20,S21043,北区,天津市,天津市,X085,1428,233.0,332724.0,商品85,口红,彩妆,233.0,2025,6,2,4,0,0.0,1.0,1.0,1133426.0
D23975,2025-04-30,S15466,北区,山西省,临汾市,X067,15,212.0,3180.0,商品67,隔离霜,护肤品,212.0,2025,4,2,2,0,0.0,1.0,1.0,629466.0
D31242,2025-06-15,S13107,南区,广东省,深圳市,X016,1180,99.0,116820.0,商品16,面膜,护肤品,99.0,2025,6,2,6,1,0.0,1.0,2.0,116820.0
D30643,2025-07-30,S19027,南区,广东省,汕头市,X015,612,151.0,92412.0,商品15,面膜,护肤品,151.0,2025,7,3,2,0,0.0,1.0,2.0,187776.0
D22720,2025-07-15,S14213,南区,广东省,广州市,X003,454,168.0,76272.0,商品3,面膜,护肤品,168.0,2025,7,3,1,0,0.0,1.0,2.0,524078.0
D23844,2025-05-30,S19350,南区,福建省,泉州市,X027,133,164.0,21812.0,商品27,面霜,护肤品,164.0,2025,5,2,4,0,0.0,1.0,2.0,376010.0
D26385,2025-06-10,S21514,南区,广东省,深圳市,X040,1181,142.0,167702.0,商品40,面霜,护肤品,142.0,2025,6,2,1,0,0.0,1.0,2.0,876161.0
D23955,2025-05-14,S15417,东区,浙江省,嘉兴市,X010,268,58.0,15544.0,商品10,面膜,护肤品,58.0,2025,5,2,2,0,0.0,1.0,3.0,1051690.0
D33071,2025-04-02,S13119,东区,江苏省,苏州市,X039,1243,108.0,134244.0,商品39,面霜,护肤品,108.0,2025,4,2,2,0,0.0,1.0,3.0,549048.0
D28178,2025-07-24,S12523,东区,安徽省,淮北市,X024,259,235.0,60865.0,商品24,眼霜,护肤品,235.0,2025,7,3,3,0,0.0,1.0,3.0,1000948.0
D32698,2025-08-28,S12660,南区,江西省,赣州市,X079,462,128.0,59136.0,商品79,口红,彩妆,128.0,2025,8,3,3,0,0.0,1.0,2.0,682722.0
D25449,2025-08-14,S22702,西区,重庆市,重庆市,X004,1372,211.0,289492.0,商品4,面膜,护肤品,211.0,2025,8,3,3,0,0.0,1.0,4.0,546358.0
D29271,2025-06-15,S23256,南区,福建省,福州市,X017,963,213.0,205119.0,商品17,眼霜,护肤品,213.0,2025,6,2,6,1,0.0,1.0,2.0,978133.0
D31328,2025-09-27,S16477,北区,河北省,保定市,X020,536,100.0,53600.0,商品20,眼霜,护肤品,100.0,2025,9,3,5,1,0.0,1.0,1.0,386372.0
D23449,2025-04-04,S16318,南区,福建省,福州市,X119,319,128.0,40832.0,商品119,蜜粉,彩妆,128.0,2025,4,2,4,0,0.0,1.0,2.0,884987.0
D33751,2025-07-23,S16281,东区,安徽省,黄山市,X068,1097,225.0,246825.0,商品68,防晒霜,护肤品,225.0,2025,7,3,2,0,0.0,1.0,3.0,279255.0
D24472,2025-08-02,S17406,东区,江苏省,苏州市,X024,65,235.0,15275.0,商品24,眼霜,护肤品,235.0,2025,8,3,5,1,0.0,1.0,3.0,141744.0
D25614,2025-08-08,S11368,东区,浙江省,杭州市,X048,67,61.0,4087.0,商品48,爽肤水,护肤品,61.0,2025,8,3,4,0,0.0,1.0,3.0,953095.0
D22465,2025-04-08,S19238,东区,浙江省,杭州市,X040,355,142.0,50410.0,商品40,面霜,护肤品,142.0,2025,4,2,1,0,0.0,1.0,3.0,185612.0
D23530,2025-05-05,S15489,南区,广东省,江门市,X010,717,58.0,41586.0,商品10,面膜,护肤品,58.0,2025,5,2,0,0,0.0,1.0,2.0,782806.0
D24618,2025-07-19,S17942,西区,四川省,成都市,X106,20,224.0,4480.0,商品106,睫毛膏,彩妆,224.0,2025,7,3,5,1,0.0,1.0,4.0,934355.0
D23739,2025-06-24,S18634,西区,四川省,泸州市,X023,1520,235.0,357200.0,商品23,眼霜,护肤品,235.0,2025,6,2,1,0,0.0,1.0,4.0,1187854.0
D27124,2025-07-23,S16308,东区,江苏省,南京市,X085,908,233.0,211564.0,商品85,口红,彩妆,233.0,2025,7,3,2,0,0.0,1.0,3.0,453673.0
D27039,2025-02-01,S19890,南区,广东省,汕尾市,X020,1649,100.0,164900.0,商品20,眼霜,护肤品,100.0,2025,2,1,5,1,0.0,1.0,2.0,830737.0
D31953,2025-07-31,S12239,东区,江苏省,南通市,X040,1516,142.0,215272.0,商品40,面霜,护肤品,142.0,2025,7,3,3,0,0.0,1.0,3.0,333314.0
